기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,01,2617057000,수정2동,185001
2022-04,12,2617057000,수정2동,196563
2022-04,13,2617057000,수정2동,194170
2022-04,03,2617057000,수정2동,184279
2022-04,04,2617057000,수정2동,184581
2022-04,00,2617057000,수정2동,189247
2022-04,11,2617057000,수정2동,192707
2022-04,20,2617057000,수정2동,212590
2022-04,06,2617057000,수정2동,179836
2022-04,21,2617057000,수정2동,211036
2022-04,23,2617057000,수정2동,194402
2022-04,17,2617057000,수정2동,211477
2022-04,18,2617057000,수정2동,209501
2022-04,22,2617057000,수정2동,209891
2022-04,08,2617059000,수정4동,67136
2022-04,17,2617059000,수정4동,58699
2022-04,07,2617059000,수정4동,74785
2022-04,06,2617059000,수정4동,77286
2022-04,04,2617059000,수정4동,81835
2022-04,05,2617059000,수정4동,80069
2022-04,19,2617059000,수정4동,63994
2022-04,18,2617059000,수정4동,61048
2022-04,13,2617059000,수정4동,56128
2022-04,01,2617059000,수정4동,81919
2022-04,22,2617059000,수정4동,70979
2022-04,14,2617059000,수정4동,54730
2022-04,10,2617059000,수정4동,61385
2022-04,09,2617059000,수정4동,63794
2022-04,02,2617059000,수정4동,82254
2022-04,21,2617059000,수정4동,68529
2022-04,16,2617059000,수정4동,56486
2022-04,03,2617059000,수정4동,83206
2022-04,00,2617059000,수정4동,81366
2022-04,23,2617059000,수정4동,77827
2022-04,11,2617059000,수정4동,58583
